outlet,party,Positive_Count,Neutral_Count,Negative_Count,Total_Articles_Mentioning,Positive_Proportion,Neutral_Proportion,Negative_Proportion
HindusanTimes,AAP,5,0,0,5,1.0,0.0,0.0
HindusanTimes,BJP,5,1,0,6,0.8333333333333334,0.16666666666666666,0.0
HindusanTimes,Congress,5,0,0,5,1.0,0.0,0.0
IndianExpress,AAP,8,11,0,19,0.42105263157894735,0.5789473684210527,0.0
IndianExpress,BJP,7,12,0,19,0.3684210526315789,0.631578947368421,0.0
IndianExpress,Congress,6,11,0,17,0.35294117647058826,0.6470588235294118,0.0
Mint,AAP,0,2,0,2,0.0,1.0,0.0
Mint,BJP,0,2,0,2,0.0,1.0,0.0
NDTV,AAP,4,7,0,11,0.36363636363636365,0.6363636363636364,0.0
NDTV,BJP,4,7,0,11,0.36363636363636365,0.6363636363636364,0.0
NDTV,Congress,3,5,0,8,0.375,0.625,0.0
NewsLaundry,AAP,5,11,0,16,0.3125,0.6875,0.0
NewsLaundry,BJP,5,11,0,16,0.3125,0.6875,0.0
NewsLaundry,Congress,3,9,0,12,0.25,0.75,0.0
Republic,AAP,1,0,0,1,1.0,0.0,0.0
Republic,BJP,2,0,0,2,1.0,0.0,0.0
Republic,Congress,1,0,0,1,1.0,0.0,0.0
TheHindu,AAP,0,4,0,4,0.0,1.0,0.0
TheHindu,BJP,1,4,0,5,0.2,0.8,0.0
TheHindu,Congress,0,4,0,4,0.0,1.0,0.0
TimesOfIndia,AAP,4,2,0,6,0.6666666666666666,0.3333333333333333,0.0
TimesOfIndia,BJP,3,2,0,5,0.6,0.4,0.0
TimesOfIndia,Congress,1,1,0,2,0.5,0.5,0.0
