outlet,category,link,processed_text,polarity,subjectivity
IndianExpress,editorial,https://indianexpress.com/article/opinion/editorials/express-view-on-new-delhi-cm-rekha-gupta-has-her-task-cut-out-9847415/,maiden speech chief minister rekha gupta promised take delhi new height fourth woman cm delhi twothirds majority assembly centre backing taking delhi new height demand require understanding capital demographic diversity civic issue delhi merely comprise middle class people living jhuggis electoral campaign dominant party made beyond binary capital destination people different region country come together create new space often transcending old divide delhi development need take aspiration everyone stake city account urge make delhi worldclass city new sheila dikshit government changed landscape city ahead 2010 commonwealth game development came cost according report housing land right network 2004 2010 least 200000 people evicted different corner city many migrant gave sweat blood build city get rehabilitation delhi among indian city migration contributes population growth birth govern city new government need inclusive providing clean air clean water sewage system work potholefree road social security besides continuing predecessor aaps scheme promised prime minister biggest challenge guptas administration aap tried transform health education sector innovative initiative like mohalla clinic renovation public school initial attempt present corruptionfree governance resonated grassroots least first year however controversy liquor scam allegation corruption dented party reputation governance also suffered delhi government confrontational politics centre alleged noncooperation new government inherited building block need work,0.06232933732933733,0.37806360306360315
IndianExpress,editorial,https://indianexpress.com/article/opinion/editorials/delhi-election-results-aam-aadmi-message-9825163/,comprehensive rout aap bjps spectacular victory ripple well beyond national capital begin biggest setback party whose birth unprecedented graph system high threshold entry electoral viability could happened highvisibility setting delhi aap climbed heart anna hazare movement corruption helped fell congressled upa government centre paved way sweep power narendra modiled bjp two term aap resisted modi wave put imprimatur delhi model governance consisting primarily success renovating government school less successfully setting mohalla clinic alongside provision subsidised water electricity model hoped make calling card bid spread part country far able punjab dramatic defeat delhi mean lost footing home ground also vital springboard success writ large failure amplified delhi aap need ask lost plot winning two large mandate surrendered magnificent opportunity course formidable odds outside pressure worn hostility powerful centre nominee lg imprisonment corruption allegation top leadership kejriwals party need also look within political decline happened many circumstance making early success government school mohalla clinic routinised second term facing question patchy quality problem issue rapidly growing metropolis aap government seen neglectful inattentive throwing hand helplessly water worsening condition road uncleared mound garbage open drain clogged sewer line aqi deteriorating aap simply seen party could address question growing wear tear infrastructure service layered city people flock search better future across country,0.21756568144499178,0.46580870279146147
IndianExpress,editorial,https://indianexpress.com/article/opinion/editorials/express-view-on-assembly-poll-in-capital-the-idea-of-delhi-9819949/,delhi voted much depend voter said even though may less full state delhi another city miniindia home diverse aspiration teeming dream many come delhi become search better work life education child part larger story outcome electoral contest city therefore decide fate three main player field also strike spark echo across country course stake high incumbent aap main challenger bjp congress long spell reckoning arvind kejriwals aap born anticorruption movement played full view nation delhi arclights unusually rapid rise shaped highvisibility setting third term would critical next step party first full tenure comprehensive win 2015 framed delhi model governance sought put imprimatur carry beyond delhi succeeded punjab goa gujarat turned attention setting mohalla clinic renovating government school alongside bijlipaani subsidy second term saw visible stalling slowdown amid growing hostility centre led bjp top leadership sent jail alleged excise policy scam accusation public money misspent refurbishing cm residence extravagantly aap back wall sought guard turf elected government move centre nominee lg success failure election hinge future trajectory party given noncongress party government two state far future contour national opposition could also rearranged aaps tally bjp returned power centre last year without majority win delhi power 27 year coming victory haryana maharashtra sweep could rehabilitate winning streak modi versus kejriwal battle grudge match larger consequence could also gauged pm reply motion thanks president address lok sabha tuesday didnt take name kejriwal clearly target pointed swipe speech,0.1645714285714286,0.3449523809523809
IndianExpress,editorial,https://indianexpress.com/article/opinion/editorials/express-view-on-india-and-trump-2-0-delhis-challenges-9792018/,india process donald trump inaugural speech subsequent executive order must acknowledge relationship united state continue prime minister narendra modi enjoyed positive rapport trump first term 20172021 considerable progress made bilateral relation navigating trump return white house straightforward imply inherent hostility trump towards india however delhi face challenge stemming trump clear intent fundamentally reshape america internal external policy development witnessed washington signal historic shift three crucial area india open market open border america great power relation premature india breathe sigh relief trump refrained announcing major tariff trading partner including india administration seems poised adopt deliberate systematic approach addressing u trade challenge avoiding immediate punitive measure nevertheless trump indicated tariff inevitable near future given india past trade policy issue trump must prepare increased pressure u greater access market related matter indian commerce bureaucracy infamous lack creativity flexibility making less successful building trade investment partnership around world essential pm modi demand new strategic approach trade negotiation u modi must also temper ideological bravado party government routinely disses tie u romanticises engagement russia china promotes loose talk dedollarisation,0.09336367655333172,0.42422634836427947
IndianExpress,editorial,https://indianexpress.com/article/opinion/editorials/express-view-on-india-bloc-a-crumbling-foretold-9772313/,crumbling india bloc unsurprising likelihood go unlamented delhi electoral wind even put together runup 2024 lok sabha election seemed lastminute patchwork shortterm calculation compulsion ego ambition dominant bjp lacking stitchedtogether story theme l result june 2024 alliance getting 234 restricting bjp 240 congress nearly doubling tally 99 gave appearance coherence impression proved shortlived dispelled soon following setback india constituent haryana maharashtra bjps victory delhi election approach congress take aap fighting challenge bjp tmc sp throw symbolic weight behind aap opposition alliance face existential question raised within outside remains even continue exist central problem india bloc party centre weak pretend know congress largest member alliance command respect regional ally hauteur matched performance well lok sabha poll comparison unchecked waning account regional partner different state contributed tally delhi ruled straight three term last two election assembly parliamentary congress win single seat vote share steep decline dipping 4031 per cent 2008 426 per cent 2020 take much political acumen see aap weaned away congress vote delhi would want cede ground especially congress refused give quarter haryana assembly poll recently delhi aap face fight bjp bihar assembly election year rjd election congress barely reckoning,0.020238095238095236,0.35039682539682543
IndianExpress,editorial,https://indianexpress.com/article/opinion/editorials/express-view-on-delhi-elections-local-is-national-9767862/,face upcoming election delhi date polling counting announced election commission tuesday fight aap bjp congress much may full state nation capital site local national people across country flock searching home foothold often carrying little flickering aspiration part bigger possibility larger whole come every day every year delhi promise better education greater avenue growth shot rewarding job opportunity precious freedom come social mobility urban sprawl one highest per caput income dense institution education employment home country largest busiest metro rail system city bustling ambition teeming dream vote new government february campaign lifting ground however justice setting far seems aap india successful political startup recent time whose spectacular trajectory also possible delhi arclights make small moment large may shakier footing last two assembly election swept comprehensively bjp pocketed lok sabha seat held robust vote share even though translate healthy seat tally assembly main contender congress ruled delhi 15 year appears lost footing aaps attempt fight bjp bjps turf brandishing overt religiosity bjps push corner aap sheesh mahal selfgoal party styled platform aam aadmi effort outdo dbts battle threatens narrow backward looking,0.17742882117882117,0.4807609057609058
IndianExpress,column,https://indianexpress.com/article/opinion/columns/bjps-win-in-delhi-has-lessons-for-aap-9847455/,history party building india saga aam aadmi party aap growth remain aberration essentially emerged flash mob movement metamorphosed organisation defied description classical political party successive decimation congress legacy party rich history participation freedom struggle near monopoly nationalist movement till independence really worrisome party built organisational structure fluke dint hard work meticulous planning genius like gopal krishna gokhale bal gangadhar tilak mahatma gandhi story continues ad gokhale modernist reformist outlook tilak followed path tradition hesitate associate religion politics gandhi proved biggest mobiliser party opened party mass also coopted people diverse background give organisation dynamism depth precise reason congress contained almost strand indian politics within fold trajectory congress growth show consistently positioned left centre independence incorporating within broad feature known hindutva always stood language idiom regionalism casteism came full play late 1960s led party marginalisation certain state yet party stood ground prove nationalist credential cede space regional force remnant organisational legacy enabled return power 2004 since 2014 however party seems thoroughly disarrayed organisationally also acquiring grammar alien historically take instance manner party wildly fluctuated janeudhari brahmin caste census fight indian state way reinventing political vocabulary nothing wrong political party reorienting rearranging lexicon adapting changing time making conscious choice seem case story continues ad contrast bjp find continued break regional social barrier adapting new political reality rather seamless manner mahatma gandhi sardar vallabhbhai patel nothing either precursor bjp rss belonged congress yet fully internalised icon within party much congress practically abandoned similarly subhas chandra bose ambedkar suitably iconised within bjps political narrative irrespective political belief regional level bjp successfully appropriated tribal icon birsa munda ahom army general lachit borphukan politically sanctified exalted status uttar pradesh sant ravidas raja suheldev similarly iconised assimilate social section like scheduled caste obcs within bjps fold south sant thiruvalluvar bhagwan basavanna included bjps pantheon panindia expansion much like congress preindependence period even initial year nehru era bharatiya jana sangh successor bjp built organisational structure brick brick fought every inch political space across india without losing ideological mooring party shunned stereotype maintained remarkable flexibility pragmatic politics researched book architect new bjp narendra modi transformed party bjp came across party innovated new method political mobilisation cooption expansion organisation seems reason bjp acquired pole position quite akin congress 1950s glimpse predilection innovative technique visible prime minister narendra modi addressed gathering party office victory delhi assembly election exhorted one lakh youth come forward join politics save country politics dhoortata murkhata cunning foolishness rhetoric apart exhortation extraordinary sense conjured dream youth part politics cause nationbuilding despite victory party smug indeed keen set agenda channel youth energy one go back time aap tapped energy youth restive middle class capital emerge viable political option conventional politics driven motley group social activist lacked cohesive political agenda rose power largely mimicking agitational politics past however india political history evolution aap bound curious case study captured people imagination decade claimed significant political space reflection conventional polity ceding ground deviant aaps chief failure building robust party organisation politics bound ups down party regain lost ground strong organisational backup delhi election bjp proved writer press secretary president india,0.09313056872580679,0.38221128518747566
IndianExpress,column,https://indianexpress.com/article/opinion/columns/from-freebies-to-empowerment-new-bjp-government-will-have-to-tackle-delhis-welfare-dilemma-9847413/,rekha gupta new chief minister delhi set get new government hopefully new governance well style governance may mimic centre delhi voter expectation new governance better productive one compared aap doubleengine government mayoral position within sight april delhi seems bjp leader boasting tripleengine government formidable sway level federalism central state local delhi cosmopolitan citystate land migrant set peculiar problem challenge crucial question however extent new government deliver promise story continues ad denying fact delhi election fought new welfarism pitch issue political mobilisation runup election subservient major player making tall commitment outplay also carve new large mass base party new welfarism based competitive financing freebie labharthis beneficiary particularly term public provisioning private good direct cash transfer became leitmotif electoral success story new welfarism different citizen right based entitlement world war ii 1950s welfare politics policy emerged form state redistributive policy address limit laissezfaire technocratically administer capitalism welfare state meant creating institution condition cater emerging demand socioeconomic right citizen entitled denied either market failed state failed perhaps failed allocate resource manner new welfarism india picked aap party across different state new two sens one temporary provisioning safety net may termed market failure instance lump sum given every month every woman economically weaker section adaptation welfare requirement market story continues ad two operates beyond ngocentric welfare measure characterised universal welfare benefit process however welfare get nationalised instead socialised problem welfarism doesnt lead empowerment citizen rather increase public provisioning private good cash benefit enhances dependency girl child delhi example would want robust democratic institution sustainable social infrastructure enable exercise socioeconomic right freely citizen long run measure advancement welfare state term state welfare recipient form marketrelated provision private insurance occupational welfare programme hardly measure success welfare state real problem therefore failure effect fully institutional welfare state particular one address issue full employment new government delhi real challenge address limitation government seldom think longterm basis caught web freebie politics harm good making citizen passive dependent disempowered time manifesto bjp laid ambitious roadmap city future giving financial benefit almost section society one way fiscal year 202425 projection revenue decline tax nontax source central receipt twothirds revenue utilised establishment salary expense seems possibility slippage deficit first time given financial condition exchequer expected face heavy burden financial accountability new government revenue distribution might tight may either divert fund capital expenditure sector finance new welfare scheme may resort help centre remains seen new dispensation work arithmetic get revenue promised scheme budget citizen delhi voted emphatically change bjp notched twothird majority assembly indicating wide support disenchanted middle class rising expectation new government better city governance particularly area pollution safety security health education employment opportunity delhi unique love political experiment sits heart national politics enormous energy influence public discourse national policy framework delhi nurture nation political administrative capital embrace everyone anywhere country attracts youth across nation university enjoys extraordinary attention visibility 2025 verdict governance gift new cm new government option perform writer teach public policy politics university delhi honorary vicechairman centre multilevel federalism new delhi,0.08871003494497472,0.39176054868825944
IndianExpress,column,https://indianexpress.com/article/opinion/columns/rekha-gupta-bjp-choice-delhi-chief-minister-9845979/,suspense selection delhi chief minister finally ended rekha gupta new cm citystate fourth woman hold post party like bjp week delay announcing chief ministerial choice looked unusual modishah era dissension within party leadership choice rare since political decision centralised bjp day unexpected delay matter surprise however bjp many reason tread cautiously story continues ad party indeed enjoys huge majority legislature comprehensively trounced aap one deny aap still 4357 per cent vote share state 22 member assembly control mcd lost bjps strategist aap major presence jhuggi cluster city also section middle class particularly lower rung among still good appeal among purvanchali vaishyabania community despite bjps many alluring promise made election campaign good political purchase among woman voter postpoll survey suggest bjp certainly made inroad constituency aap however given kejriwals political shrewdness bjp undermine possible political surprise also read rekha gupta appointed delhi cm big challenge face coming back power 27 year party take consideration altered demographic political composition city longer punjabibaniyadominated city jan sangh later bjp held ideologicalelectoral sway bjp sensed 1990s started losing political ground sheila dikshitled congress could reset political bandwidth course correction cornered electoral game initially dikshit followed kejriwal hence back power wouldnt want leave anything chance everything hold getting social engineering right formation ministry adjusting politics new regionalethnic arithmetic city story continues ad nevertheless early pas judgement future aap delhi longer party difference enjoying ethicalideological edge opponent whether still element movementparty galvanise cadre political agenda drop hat would tested first time coming year play role opposition keenly watched whether able retain social base bounce back politically corner bjp tall promise made election party like bjp act like electoral machine would weighed pro con selecting chief ministerial face delhi choice rekha gupta chief minister delhi tick many box identity woman belonging vaishya community seemed convinced central leadership possible social impact since social constituency woman vaishyas anchor aap politics state gupta nicely fit bill bjp found good combination replace kejriwal vaishya atishi woman gupta municipal councillor reasonably good administrative experience since come abvp also enjoys unquestionable ideological pedigree importantly risen ordinary rank file party nondynast factor seems put ahead pravesh varma whose father delhi cm selecting dynast would dented modis unique selling point national politics blunted bjps offensive congress regional party matter watch whether gupta prof dikshit bjp end another sushma swaraj party delhi writer teach political science aryabhatta college delhi university,0.12200413223140497,0.40635576544667457
IndianExpress,column,https://indianexpress.com/article/opinion/columns/pratap-bhanu-mehta-writes-bjps-delhi-challenge-and-the-capitals-future-9845309/,new bjp government take oath office delhi 27 year perennial question remains delhi want delhi historical depth spatial variety economic energy sociological diversity extraordinary asset outgrown identity simply city power money delhi ignites much interest success failure portend possible future india delhi like middleincome country per caput income twoandahalf time national average central government directly stake city perhaps much stake delhi mobilised power modern democracy concentration medium thicket institution kind future city build challenge answering question cliched fact delhi one delhi many delhi perhaps starting point thinking governance begin list scheme contradiction delhi must manage way political message election difficult one read sheila dikshits long reign delhi sustained clear ideological frame modernist vision delhi decent procedural governance style nod pluralism vision shortcoming middleclass modernism sustained indian standard relatively successful vision revolted appearance corruption inchoate sense something even better possible aap combined revolt concern poor marginalised high modernism story continues ad brief time aap capitalised governance revolt aligning genuinely popular movement promising new governance architecture protection poor investment social service especially health education architecture survived decade despite national party arrayed administrative straitjacket imposed central government end movement lost accord promise newstyle government dissipated allegation corruption divisive politics immature performative showmanship squandered greatest asset sense sincerity delhi voter yearned brilliant postpoll survey ashish ranjans dale organisation show middle class abandoned switch almost eight per cent vote aap stymied bjp vote cut congress denying goal aap squandered governance credential basic marker competence like road drain retains hold bottom 20 per cent tall order recover one read vote first sight reflects exasperation acclimation new vision delhi hope glorious new dawn delhi simply basic governance get current culdesac lowhanging fruit minimally competent government stymied central government aim fixing delhi road drainage luck even polluting yamuna less beyond contradiction delhi took dikshit arvind kejriwal continue haunt governance first contradiction delhi urban aspiration urbanity partha mukhopadhyay pointing indian city getting urban without acquiring characteristic urbanity includes sense refined urban manner small moral urban life allow modicum civility also includes promise urbanisation caste religion region less tied citizenship right early promise aap till decided play cheap politics identity bjp best tenuous friend urbane civility freedom also rebel urbaneness profound sense driven destructive identity politics new delhi administration set different tone story continues ad indian city marked inequality delhi politically interesting city precisely half city middleclass city delhi prosperity poor urban periphery matter politically dikshit helped create middleclass delhi narrow class base aap discovered unlike many metro win govern delhi without middle class theoretically great opportunity delhi realisation balance must struck two half practice centre policy research city delhi project showed delhi inequality actively produced four thing first way state power organised favour middle class second middleclass modernist imagination relies presence poor service without wanting make visible still fear modernism delhi success judged involves constant displacement eviction marginalisation poor third genuine problem indian city buying modernism cheap mechanism costing externality development freebie debate always framed poor freeriding middleclass delhi perhaps freeriding invisible way cost sewage trash borne periphery city new government course also judged air pollution peddled many false start north indiawide problem almost fatal sense resignation finally indian city built contractor contractor political economy land construction lead civic aesthetic abomination respect delhi outside ndmc area actually think form land use inclusive economically viable tolerably liveable set new benchmark otherwise likely delhi keep oscillating political cycle never quite justice potential middleclass vocal insecure city poor never stake delhi city vanished supremacy one hope become city vanishing future caught permanently sullen present writer contributing editor indian express,0.07669993586660256,0.41896304312970983
