outlet,category,link,text
IndianExpress,editorial,https://indianexpress.com/article/opinion/editorials/express-view-on-new-delhi-cm-rekha-gupta-has-her-task-cut-out-9847415/,"In her maiden speech as Chief Minister, Rekha Gupta promised to take Delhi to “new heights”. The fourth woman CM of Delhi has a more than two-thirds majority in the assembly and the Centre’s backing. Taking Delhi to “new heights” will demand more — it will require an understanding of the capital’s demographic diversity and its civic issues. Delhi does not merely comprise the middle class or the people living in jhuggis — as electoral campaigns of the dominant parties made it out to be. Beyond these binaries, the capital is a destination for people from different regions of the country who come together to create new spaces, often transcending old divides. Delhi’s development needs to take the aspirations of everyone who has a stake in the city into account.

The urge to make Delhi a “world-class” city is not new. The Sheila Dikshit government changed the landscape of the city ahead of the 2010 Commonwealth Games. But the development came at a cost. According to the reports of the Housing and Land Rights Network, between 2004 and 2010, at least 2,00,000 people were evicted from different corners of the city. Many of them were migrants, who gave their sweat and blood to build up the city — they did not get rehabilitation. Delhi is among the very few Indian cities where migration contributes more to population growth than births. To govern such a city, the new government needs to be inclusive. Providing clean air, clean water, sewage systems that work, pothole-free roads and social security, besides continuing its predecessor AAP’s schemes — as promised by the Prime Minister — will be the biggest challenge for Gupta’s administration. AAP had tried to transform the health and education sectors through innovative initiatives like mohalla clinics and the renovation of public schools. Its initial attempts to present corruption-free governance resonated at the grassroots — at least in its first few years. However, the controversy over the liquor scam and allegations of corruption dented the party’s reputation. Governance also suffered because of the Delhi government’s confrontational politics and the Centre’s alleged non-cooperation. The new government has inherited the building blocks. It needs to work on them."
IndianExpress,editorial,https://indianexpress.com/article/opinion/editorials/delhi-election-results-aam-aadmi-message-9825163/,"The comprehensive rout of the AAP and the BJP’s spectacular victory ripples well beyond the national capital. To begin with, it is the biggest setback for a party whose birth and unprecedented graph in a system that has a high threshold of entry and electoral viability could only have happened in the high-visibility setting of Delhi. Here, the AAP climbed out from the heart of the Anna Hazare movement against corruption that helped fell the Congress-led UPA government at the Centre and paved the way for the sweep to power of the Narendra Modi-led BJP. Here, too, over two terms, the AAP resisted the Modi wave, and put its imprimatur on a “Delhi Model” of governance — consisting primarily of its successes in renovating the government school and, less successfully, setting up mohalla clinics, alongside provision of subsidised water and electricity. It was a model it hoped to make its calling card in its bid to spread to other parts of the country – so far, it has been able to do so only in Punjab. Its dramatic defeat in Delhi now means that it has lost its footing on its home ground, and also a vital springboard. Because if success is writ large, so is failure amplified in Delhi.

The AAP will need to ask how it lost the plot after winning two large mandates, why it surrendered its magnificent opportunity. Of course, it was up against formidable odds because of outside pressures — it was worn down by its hostilities with a powerful Centre and its nominee, the L-G, and the imprisonment on corruption allegations of its top leadership. But Kejriwal’s party needs to also look within, its political decline has happened in many circumstances of its own making. The early successes in the government school and mohalla clinic were routinised and, in its second term, they have been facing questions of patchy quality. Then there were the problems and issues of a rapidly growing metropolis on which the AAP government was seen to be neglectful, inattentive, or just throwing up its hands helplessly — water, most of all, and the worsening condition of roads, uncleared mounds of garbage, open drains, clogged sewer lines, and an AQI that is deteriorating. The AAP was simply not seen as a party that could address questions of the growing wear and tear of the infrastructure and services of a layered city, to which people flock in search of a better future from across the country."
IndianExpress,editorial,https://indianexpress.com/article/opinion/editorials/express-view-on-assembly-poll-in-capital-the-idea-of-delhi-9819949/,"Delhi has voted and much will depend on what the voters have said. Because even though it may be less than a full state, Delhi is not just another city. It is a mini-India that is home to diverse aspirations and teeming dreams. Many come to Delhi to be and to become, in search of a better work and life for themselves and education for their children, and to be part of a larger story. The outcome of the electoral contest in this city will, therefore, not just decide the fate of the three main players in the field. It will also strike sparks and echoes across the country. Of course, the stakes are high for the incumbent AAP, its main challenger BJP and a Congress that has for a long spell been out of the reckoning.

For Arvind Kejriwal’s AAP, born from an anti-corruption movement that played out in full view of the nation under the Delhi arclights, its unusually rapid rise shaped by its high-visibility setting, a third term, or not, would be critical to its next steps as a party. Its first full tenure after the comprehensive win in 2015 framed the “Delhi model” of governance it sought to put an imprimatur on and carry beyond Delhi (it succeeded in Punjab, but not in Goa or Gujarat). It turned its attention to setting up mohalla clinics and renovating the government school, alongside bijli-paani subsidies. But the second term saw a visible stalling and slowdown amid growing hostilities with the Centre led by the BJP. From its top leadership being sent to jail in the alleged excise policy scam, to accusations that public money was misspent on refurbishing the CM’s residence extravagantly, the AAP has had its back against the wall as it sought to guard the turf of an elected government from moves by the Centre’s nominee, the L-G. On its success or failure in this election, then, will hinge its future trajectory as a party — and given that it is the only non-Congress party with governments in two states so far, the future contours of the national Opposition could also be rearranged by the AAP’s tally. For the BJP, which returned to power at the Centre last year, but without a majority, a win in Delhi, where it has been out of power for 27 years, coming after its victory in Haryana and Maharashtra sweep, could rehabilitate its winning streak. That the Modi versus Kejriwal battle is a grudge match with larger consequences could also be gauged from the PM’s reply to the motion of thanks on the President’s address in Lok Sabha on Tuesday — he didn’t take names but Kejriwal was clearly the target of pointed swipes in his speech."
IndianExpress,editorial,https://indianexpress.com/article/opinion/editorials/express-view-on-india-and-trump-2-0-delhis-challenges-9792018/,"As India processes Donald Trump’s inaugural speech and subsequent executive orders, it must acknowledge that its relationship with the United States cannot continue as before. While Prime Minister Narendra Modi enjoyed a positive rapport with Trump during his first term (2017-2021), and considerable progress was made in bilateral relations, navigating Trump’s return to the White House will not be straightforward. This does not imply any inherent hostility from Trump towards India; however, Delhi now faces challenges stemming from Trump’s clear intent to fundamentally reshape America’s internal and external policies. The developments witnessed in Washington signal a historic shift in three crucial areas for India: Open markets, open borders, and America’s great power relations.

It is premature for India to breathe a sigh of relief that Trump refrained from announcing major tariffs against trading partners, including India. His administration seems poised to adopt a more deliberate and systematic approach to addressing US trade challenges, avoiding immediate punitive measures. Nevertheless, Trump has indicated that tariffs are inevitable in the near future. Given India’s past trade policy issues with Trump, it must prepare for increased pressure from the US for greater access to its markets and other related matters. The Indian commerce bureaucracy is infamous for its lack of creativity and flexibility, making it less than successful in building trade and investment partnerships around the world. It is essential for PM Modi to demand a new strategic approach to trade negotiations with the US. Modi must also temper the ideological bravado in his own party and government that routinely disses ties with the US, romanticises engagement with Russia and China, and promotes loose talk on “dedollarisation”."
IndianExpress,editorial,https://indianexpress.com/article/opinion/editorials/express-view-on-india-bloc-a-crumbling-foretold-9772313/,"The crumbling of the INDIA bloc is unsurprising and, in all likelihood, it will go unlamented with Delhi’s electoral wind. After all, even when it was being put together in the run-up to the 2024 Lok Sabha election, it seemed to be a last-minute patchwork of short-term calculations and compulsions, egos and ambitions, against the dominant BJP, lacking a stitched-together story or theme. The LS results in June 2024 — with the alliance getting 234, restricting the BJP to 240, and Congress nearly doubling its own tally to 99 — gave it an appearance of coherence. But that impression proved to be shortlived. It was dispelled all too soon following the setbacks to INDIA constituents in Haryana and Maharashtra and the BJP’s victories. Now, as the Delhi election approaches, as Congress takes on the AAP which is fighting off the challenge from the BJP, and the TMC and SP throw their (symbolic) weight behind the AAP, the Opposition alliance faces an existential question that has been raised both within it and outside: What remains of it, and should it even continue to exist?

The central problem with the INDIA bloc is that the party at its centre is weak and pretends not to know it. Congress, the largest member of the alliance, does not command the respect of its regional allies because its hauteur is not matched by its performance. It did well in the Lok Sabha polls but that was in comparison to its own unchecked waning, and by all accounts, its regional partners in different states contributed to its tally. In Delhi, where it once ruled for a straight three terms, in the last two elections, both assembly and parliamentary, Congress did not win a single seat, and its vote share has been in steep decline, dipping from 40.31 per cent in 2008 to 4.26 per cent in 2020. It does not take much political acumen to see why the AAP, which has weaned away most of the Congress vote in Delhi, would not want to cede any ground to it, especially after Congress refused to give it any quarter in the Haryana assembly poll most recently. If in Delhi it is the AAP which is the face of the fight against the BJP, in Bihar, the only other assembly election this year, it will be the RJD. In both elections, Congress is barely in the reckoning."
IndianExpress,editorial,https://indianexpress.com/article/opinion/editorials/express-view-on-delhi-elections-local-is-national-9767862/,"On the face of it, the upcoming election in Delhi — the dates for polling and counting were announced by the Election Commission Tuesday — will be a fight between the AAP, BJP and Congress. But it will be much more than just that. It may not be a full state, but the nation’s capital is the site, most of all, where the local is the national. People from across the country flock to it, searching for a home or a foothold, often carrying little more than a flickering aspiration to be part of a bigger possibility, a larger whole. To its own, and to those who come to it every day and every year, Delhi is the promise of a better education and greater avenues for growth. It is a shot at more rewarding job opportunities and the precious freedom that comes from social mobility. It is this urban sprawl, with one of the highest per capita incomes, dense with institutions of education and employment, home to the country’s largest and busiest metro rail system and, most of all, the city of bustling ambitions and teeming dreams that will vote for a new government on February 5. The campaign that is lifting off the ground, however, does not do justice to its setting.

So far, it seems that the AAP, India’s most successful political start-up in recent times, whose spectacular trajectory was also possible only under the Delhi arclights which can make small moments large, may be on a shakier footing than it has been in the last two assembly elections, which it swept comprehensively. The BJP, which has pocketed all the Lok Sabha seats and held on to a robust vote share even though it did not translate into a healthy seat tally in the assembly, is its main contender. The Congress, having ruled Delhi for 15 years, appears to have all but lost its footing. But be it the AAP’s attempts to fight the BJP on the BJP’s turf by brandishing an overt religiosity, or the BJP’s push to corner the AAP on the “sheesh mahal”, a self-goal by a party that styled itself as a platform for the aam aadmi, or the effort by both to outdo each other on DBTs, the battle threatens to be narrow and backward looking."
IndianExpress,column,https://indianexpress.com/article/opinion/columns/bjps-win-in-delhi-has-lessons-for-aap-9847455/,"In the history of party building in India, the saga of the Aam Aadmi Party’s (AAP) growth will remain an aberration. It essentially emerged out of a “flash mob” movement that metamorphosed into an organisation which defied all descriptions of a classical political party.

But the successive decimation of Congress, a legacy party with a rich history of participation in the freedom struggle and near monopoly on the nationalist movement till Independence, is really worrisome. The party had built its organisational structure not by fluke but by dint of hard work and meticulous planning by geniuses like Gopal Krishna Gokhale, Bal Gangadhar Tilak and Mahatma Gandhi.

Story continues below this ad

If Gokhale was a modernist with a reformist outlook, Tilak followed the path of tradition and did not hesitate to associate religion with his politics. Gandhi proved to be the biggest mobiliser for the party; he not only opened the party to the masses but also co-opted people from diverse backgrounds to give the organisation dynamism and depth. That was the precise reason Congress contained almost all strands of Indian politics within its fold.

The trajectory of Congress’s growth shows that it consistently positioned itself as left of centre after Independence while incorporating within it the broad features of what is now known as Hindutva. It always stood against the language and idioms of regionalism and casteism that came into full play in the late 1960s and led to the party’s marginalisation in certain states. Yet the party stood its ground to prove its nationalist credentials and did not cede space to regional forces. It was the remnants of the organisational legacy that enabled it to return to power in 2004.

Since 2014, however, the party seems to be not only thoroughly disarrayed organisationally but also acquiring a grammar that was alien to it historically. Take, for instance, the manner in which the party wildly fluctuated from “janeudhari Brahmin” to caste census and “the fight against the Indian state” by way of reinventing its political vocabulary. There is nothing wrong in a political party reorienting itself by rearranging its lexicon and adapting it to the changing times by making conscious choices. But that does not seem to be the case here.

Story continues below this ad

If you contrast this with the BJP, you will find it has continued to break regional and social barriers by adapting itself to the new political realities in a rather seamless manner. Mahatma Gandhi and Sardar Vallabhbhai Patel had nothing to do with either the precursors of the BJP or the RSS. They belonged to Congress. Yet they have been fully internalised as icons within the party, so much so that Congress has practically abandoned them. Similarly, Subhas Chandra Bose and B R Ambedkar have been suitably iconised within the BJP’s political narrative irrespective of their political beliefs.

At the regional level, the BJP has successfully appropriated the tribal icon Birsa Munda and the Ahom army general Lachit Borphukan and politically sanctified their exalted status. In Uttar Pradesh, Sant Ravidas and Raja Suheldev are similarly iconised to assimilate social sections like the Scheduled Castes and OBCs within the BJP’s fold. In the south, Sant Thiruvalluvar and Bhagwan Basavanna have been included in the BJP’s pantheon for its pan-India expansion.

Much like Congress in the pre-Independence period and even during the initial years of the Nehru era, the Bharatiya Jana Sangh — and its successor, the BJP — built its organisational structure brick by brick. It fought for every inch of political space across India. Without losing its ideological moorings, the party shunned stereotypes and maintained remarkable flexibility in its pragmatic politics. When I researched for my book, The Architect of the New BJP: How Narendra Modi Transformed the Party, the BJP came across as a party that innovated new methods of political mobilisation, co-option and expansion of the organisation. That seems to be the reason the BJP has acquired the pole position ,quite akin to what Congress had in the 1950s.

A glimpse of that predilection for innovative techniques was visible when Prime Minister Narendra Modi addressed the gathering at the party office after the victory in the Delhi assembly elections. He exhorted over one lakh youth to come forward and join politics to save the country from the politics of dhoortata and murkhata (cunning and foolishness). Rhetoric apart, this exhortation is extraordinary in the sense that it conjured up a dream for the youth to be a part of politics for the cause of nation-building. Despite the victory, the party is not smug; it is indeed keen to set out an agenda to channel the youth’s energy.

If one goes back in time, AAP had tapped into the energies of the youth and the restive middle class of the capital to emerge as a viable political option against conventional politics. Driven by a motley group of social activists, it lacked a cohesive political agenda and rose to power by largely mimicking the agitational politics of the past. However, in India’s political history, the evolution of AAP is bound to be a curious case study. That it captured people’s imagination for more than a decade and claimed a significant political space is more a reflection of the conventional polity ceding ground to the deviant. AAP’s chief failure was in building a robust party organisation. In politics, there are bound to be ups and downs, but a party can regain the lost ground if it has a strong organisational back-up. In the Delhi elections, the BJP has proved this.

The writer is press secretary to the President of India"
IndianExpress,column,https://indianexpress.com/article/opinion/columns/from-freebies-to-empowerment-new-bjp-government-will-have-to-tackle-delhis-welfare-dilemma-9847413/,"With Rekha Gupta as the new chief minister, Delhi is all set to get a new government and, hopefully, a new governance as well. The style of governance may mimic the Centre, but Delhi voters’ expectation of the new governance is a better and more productive one when compared with that of AAP. With the double-engine government now and the mayoral position within sight in April, Delhi seems to have what the BJP leaders are boasting of — a triple-engine government with formidable sway over all levels of federalism – central, state and local.

Delhi, a cosmopolitan city-state, is the land of migrants. It has its own set of peculiar problems and challenges. The crucial question, however, is to what extent the new government can deliver on its promises.

Story continues below this ad

There is no denying the fact that the Delhi elections were fought on the “new welfarism” pitch. All other issues of political mobilisation in the run-up to elections were subservient to it. The major players were making tall commitments, not only to outplay each other but also to carve out a new, large mass base for their parties. The new welfarism, based on competitive financing of freebies to the labharthis (beneficiaries), particularly in terms of public provisioning of private goods and direct cash transfers, became the leitmotif of electoral success stories.

What, then, is this new welfarism and how is it different from the citizen’s rights based on entitlements? After World War II, in the 1950s, welfare politics and policies emerged in the form of the state’s redistributive policy to address the limits of laissez-faire and to technocratically administer capitalism. The welfare state meant creating institutions and conditions to cater to the emerging demands for socio-economic rights of citizens, which they were entitled to but were denied, because either the market failed or the state failed, or perhaps both failed, to allocate resources in a just manner.

The new welfarism in India, picked up by AAP and other parties across different states, is new in two senses. One, there is the temporary provisioning of a “safety net” against what may be termed “market failure”. For instance, a lump sum given every month to every woman from the economically weaker sections is an adaptation of welfare to the requirements of the markets.

Story continues below this ad

Two, it operates beyond the NGO-centric welfare measures and is characterised by universal welfare benefits. In both processes, however, this welfare gets nationalised instead of socialised. The problem with such welfarism is that it doesn’t lead to the empowerment of the citizen; rather, it increases the public provisioning of private goods and cash benefits and enhances dependency. A girl child in Delhi, for example, would want robust democratic institutions and sustainable social infrastructure to enable her to exercise her socio-economic rights as freely as any other citizen in the long run. We can measure the advancement of the welfare state in terms of state welfare recipients or through some form of market-related provision, such as private insurance and occupational welfare programmes, but we can hardly measure the success of the welfare state. The real problem, therefore, is the failure to effect a fully “institutional” welfare state, in particular, one that addresses the issue of full employment.

For the new government in Delhi, the real challenge will be to address these limitations. Governments seldom think on a long-term basis and are caught in their own web of “freebie politics”, doing more harm than good by making the citizen passive, dependent and disempowered over time. In its manifesto, the BJP laid out an ambitious roadmap for the city’s future, giving financial benefits to almost all sections of society in one way or the other. In the fiscal year 2024-25, there is a projection of revenue decline from taxes, non-tax sources and central receipts. With more than two-thirds of revenue being utilised in the establishment and salary expenses, there seems to be the possibility of slippage into deficit for the first time. Given such financial conditions, the exchequer is expected to face a heavy burden of financial accountability. For the new government, revenue distribution might be tight, so it may have to either divert funds from capital expenditure or other sectors to finance all the new welfare schemes, or it may have to resort to help from the Centre. It remains to be seen how the new dispensation works on the arithmetic to get revenues for the promised schemes in its budget.

The citizens of Delhi have voted emphatically for change. The BJP has notched up a two-third majority in the assembly, indicating wide support not just from the disenchanted middle class. There is a rising expectation from the new government for better city governance, particularly in the areas of pollution, safety and security, health and education and employment opportunities.

Delhi is unique in that it loves political experiments. It sits at the heart of national politics and has enormous energy to influence public discourse and national policy frameworks. Delhi nurtures the nation’s political and administrative capital, embraces everyone from anywhere in the country, and attracts youth from across the nation to its universities. It enjoys extraordinary attention and visibility. The 2025 verdict is the governance gift to the new CM, and the new government has no option but to perform.

The writer teaches Public Policy and Politics at the University of Delhi and is the honorary vice-chairman at the Centre for Multilevel Federalism, New Delhi"
IndianExpress,column,https://indianexpress.com/article/opinion/columns/rekha-gupta-bjp-choice-delhi-chief-minister-9845979/,"The suspense over the selection of Delhi’s chief minister has finally ended. Rekha Gupta is the new CM of the city-state and the fourth woman to hold the post. For a party like the BJP, more than a week’s delay in announcing its chief ministerial choice looked unusual. In the Modi-Shah era, dissension within the party over leadership choice is rare. Since most political decisions are centralised in the BJP these days, the unexpected delay is a matter of surprise.

However, the BJP has had many reasons to tread cautiously.

Story continues below this ad

The party indeed enjoys a huge majority in the legislature and has comprehensively trounced the AAP. But one cannot deny that the AAP still has 43.57 per cent vote share in the state, 22 members in the assembly, and control of the MCD. This was not lost on the BJP’s strategists. The AAP has a major presence in the jhuggi clusters of the city and also in some sections of the middle class, particularly the lower rungs among them. It still has good appeal among the Purvanchali and Vaishya-Bania communities, and despite the BJP’s many alluring promises made during the election campaign, it has good political purchase among women voters, as the post-poll surveys suggest.

The BJP has certainly made inroads into some of the constituencies of the AAP. However, given Kejriwal’s political shrewdness, the BJP cannot undermine possible political surprises.

Also Read | As Rekha Gupta is appointed Delhi CM, the 4 big challenges she will face

Coming back to power after 27 years, the party has to take into consideration the altered demographic and political composition of the city. It is no longer the same Punjabi-Baniya-dominated city in which the Jan Sangh, and later the BJP, held ideological-electoral sway. The BJP sensed it in the 1990s when it started losing political ground to the Sheila Dikshit-led Congress. But before it could reset its political bandwidth and do course correction, it was cornered in the electoral game initially by Dikshit, followed by Kejriwal. Hence, now that it is back in power, it wouldn’t want to leave anything to chance, and will do everything it can to hold on, from getting its social engineering right in the formation of the ministry to adjusting its politics to the new regional-ethnic arithmetic of the city.

Story continues below this ad

It is, nevertheless, too early to pass any judgement on the future of the AAP in Delhi. It is no longer a party with a difference enjoying an ethical-ideological edge over its opponents. But whether it still has the elements of a “movement-party” that can galvanise cadres for any political agenda at the drop of a hat would be tested for the first time in coming years when it will play the role of the opposition. It will be keenly watched whether it will be able to retain its social base and bounce back to politically corner the BJP on the tall promises it made during the election.

A party like the BJP, which acts like an electoral machine, would have weighed all the pros and cons in selecting its chief ministerial face for Delhi. The choice of Rekha Gupta as the chief minister of Delhi ticks many boxes. Her identity as a woman belonging to the Vaishya community seemed to have convinced the central leadership of its possible social impact. Since both these social constituencies — women and Vaishyas — have been anchors of AAP politics in the state, Gupta nicely fits the bill. In her, the BJP has found a good combination to replace Kejriwal, a Vaishya, and Atishi, a woman.

Gupta has been a municipal councillor with reasonably good administrative experience. Since she has come out of the ABVP, she also enjoys an unquestionable ideological pedigree. Most importantly, she has risen from the ordinary rank and file of the party and is a non-dynast, a factor that seems to have put her ahead of Pravesh Varma, whose father was Delhi CM. Selecting a dynast would have dented Modi’s unique selling point in national politics and blunted the BJP’s offensive against the Congress and regional parties.

It is a matter to watch whether Gupta proves to be the Dikshit of the BJP or ends up as another Sushma Swaraj of the party in Delhi.

The writer teaches Political Science at Aryabhatta College, Delhi University"
IndianExpress,column,https://indianexpress.com/article/opinion/columns/pratap-bhanu-mehta-writes-bjps-delhi-challenge-and-the-capitals-future-9845309/,"A new BJP government takes the oath of office in Delhi after 27 years. The perennial question remains: What does Delhi want? Delhi’s historical depth, spatial variety, economic energy and sociological diversity are extraordinary assets. It has outgrown its identity as simply the city of power and money. Delhi ignites so much interest because its successes and failures portend a possible future for India. Delhi is more like a middle-income country with a per capita income two-and-a-half times the national average; the central government directly has a stake in the city — perhaps it has too much stake. Delhi has all the mobilised power of modern democracy: Concentration of media and a thicket of institutions. What kind of future will this city build?

The challenge in answering this question is not just the cliched fact about Delhi: There is not one Delhi, there are many Delhis. So perhaps the starting point for thinking about governance is to not begin with a list of schemes, but the contradictions that Delhi must manage. In some ways, the political message of this election is a difficult one to read. Sheila Dikshit’s long reign over Delhi was sustained by a clear ideological frame — a modernist vision of Delhi, a decent procedural governance style, with a nod to pluralism. That vision has its shortcomings – the very middle-class modernism that sustained what was, by Indian standards, a relatively successful vision, revolted against it for the appearance of corruption, and that inchoate sense that something even better was possible. AAP combined that revolt with the concerns of the poor, marginalised by that high modernism.

Story continues below this ad

For a brief time, AAP capitalised on that governance revolt, aligning it with a genuinely popular movement promising new governance architecture, protection of the poor and investment in social services, especially health and education. The architecture survived for a decade, despite both national parties arrayed against it, and an administrative straitjacket imposed by the central government. But in the end, that movement lost of its own accord. Its promise of a new-style government dissipated in allegations of corruption, divisive politics and immature performative showmanship. It squandered its greatest asset, the sense of sincerity Delhi voters yearned for. As the brilliant post-poll surveys by Ashish Ranjan’s DALES organisation show, the middle class abandoned it, with a switch of almost eight per cent of the vote. The AAP was stymied by the BJP, and its votes cut by the Congress. But there is no denying that this was an own goal by AAP. It squandered its governance credentials on basic markers of competence like roads and drains. It retains some hold over the bottom 20 per cent. But it will be a tall order for it to recover.

How does one read this vote? At first sight, it reflects more exasperation than acclimation of a new vision of Delhi. The hope is not for a glorious new dawn for Delhi, but simply some basic governance that can get it out of the current cul-de-sac. There are some low-hanging fruits that a minimally competent government, now not stymied by the central government, can aim at — fixing Delhi’s roads, drainage, and, with some luck, even polluting the Yamuna less. But beyond that, the contradictions of Delhi that took down Dikshit and Arvind Kejriwal will continue to haunt governance.

The first is the contradiction between Delhi’s urban aspirations and its urbanity. As Partha Mukhopadhyay has been pointing out, Indian cities are getting urban without acquiring the characteristics of urbanity. This includes not just a sense of refined urban manners or the small morals of urban life that allow a modicum of civility. It also includes the promise of urbanisation, where caste, religion and region are less tied to citizenship and rights. This was the early promise of AAP till it too decided to play a cheap politics of identity. The BJP is, at best, a tenuous friend of urbane civility and freedom; it also rebels against urbaneness in this profound sense, being driven by a destructive identity politics. Can a new Delhi administration set a different tone?

Story continues below this ad

Indian cities are marked by inequalities. But Delhi is a politically interesting city precisely because both the halves of the city — the middle-class city of Delhi’s prosperity, and the poor on the urban periphery — matter politically. Dikshit helped create the middle-class Delhi, but it had a narrow class base. AAP discovered that unlike in many metros, you cannot win and govern Delhi without the middle class. Theoretically, this is a great opportunity for Delhi, a realisation that a balance must be struck between the two halves.

But in practice, as the Centre for Policy Research’s Cities of Delhi project showed, Delhi’s inequality is actively produced by four things. First is the way in which state power is organised in favour of the middle class. The second is that the middle-class modernist imagination relies on the presence of the poor for services without wanting to make them visible. There is still a fear that modernism by which Delhi’s success will be judged involves constant displacement, eviction and marginalisation of the poor. The third is a genuine problem for most Indian cities – buying modernism on the cheap, with no mechanisms for costing the externalities of development. The freebie debate is always framed as the poor free-riding. But middle-class Delhi is perhaps free-riding in a more invisible way: The cost of our sewage, trash is borne by the periphery of the city. The new government will, of course, also be judged on air pollution. But we have peddled so many false starts on this North India-wide problem that there is almost a fatal sense of resignation about it. And finally, most Indian cities are built by contractors for contractors. The political economy of land and construction leads to civic and aesthetic abominations. In this respect, if Delhi, outside of the NDMC area, can actually think of forms of land use that are inclusive, economically viable and tolerably liveable, it can set a new benchmark.

Otherwise, it is likely that Delhi will keep oscillating between the political cycles, never quite doing justice to its potential, with a middle-class vocal but insecure about its own city, and the poor never having a stake in it. Delhi is a city of vanished supremacies. But one hopes it does not become a city with a vanishing future, caught in a permanently sullen present.

The writer is contributing editor, The Indian Express"
